Cam,i,j,k,t 
0,2,10,7,52 
0,2,11,7,52 
0,2,12,7,52 
0,2,13,7,52 
0,2,14,7,52 
0,2,15,7,52 
0,2,16,7,52 
0,2,17,7,52 
0,2,18,7,52 
0,2,19,7,52 
0,2,20,7,52 
0,2,1,8,52 
0,2,2,8,52 
0,2,3,8,52 
0,2,4,8,52 
0,2,5,8,52 
0,2,6,8,52 
0,2,7,8,52 
0,2,8,8,52 
0,2,9,8,52 
0,2,10,8,52 
0,2,11,8,52 
0,2,12,8,52 
0,2,13,8,52 
0,2,14,8,52 
0,2,15,8,52 
0,2,16,8,52 
0,2,17,8,52 
0,2,18,8,52 
0,2,19,8,52 
0,2,20,8,52 
0,3,1,1,52 
0,3,2,1,52 
0,3,3,1,52 
0,3,4,1,52 
0,3,5,1,52 
0,3,6,1,52 
0,3,7,1,52 
0,3,8,1,52 
0,3,9,1,52 
0,3,10,1,52 
0,3,11,1,52 
0,3,12,1,52 
0,3,13,1,52 
0,3,14,1,52 
0,3,15,1,52 
0,3,16,1,52 
0,3,17,1,52 
0,3,18,1,52 
0,3,19,1,52 
0,3,20,1,52 
0,3,1,2,52 
0,3,2,2,52 
0,3,3,2,52 
0,3,4,2,52 
0,3,5,2,52 
0,3,6,2,52 
0,3,7,2,52 
0,3,8,2,52 
0,3,9,2,52 
0,3,10,2,52 
0,3,11,2,52 
0,3,12,2,52 
0,3,13,2,52 
0,3,14,2,52 
0,3,15,2,52 
0,3,16,2,52 
0,3,17,2,52 
0,3,18,2,52 
0,3,19,2,52 
0,3,20,2,52 
0,3,1,3,52 
0,3,2,3,52 
0,3,3,3,52 
0,3,4,3,52 
0,3,5,3,52 
0,3,6,3,52 
0,3,7,3,52 
0,3,8,3,52 
0,3,9,3,52 
0,3,10,3,52 
0,3,11,3,52 
0,3,12,3,52 
0,3,13,3,52 
0,3,14,3,52 
0,3,15,3,52 
0,3,16,3,52 
0,3,17,3,52 
0,3,18,3,52 
0,3,19,3,52 
0,3,20,3,52 
0,3,1,4,52 
0,3,2,4,52 
0,3,3,4,52 
0,3,4,4,52 
0,3,5,4,52 
0,3,6,4,52 
0,3,7,4,52 
0,3,8,4,52 
0,3,9,4,52 
0,3,10,4,52 
0,3,11,4,52 
0,3,12,4,52 
0,3,13,4,52 
